timestamp, AccelerationX, AccelerationY, AccelerationZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Z-AxisAgle(Azimuth), X-AxisAngle(Pitch), Y-AxisAngle(Roll), GyroX, GyroY, GyroZ
1422629483421,-3.577,2.104,9.078,-5.4,-17.9,-28.2,126.404,-12.169,-21.001,0,0,0
1422629483520,-3.424,2.927,9.374,-4.3,-21.9,-26.9,134.694,-11.322,-25.898,0,0,0
1422629483620,-2.505,2.908,8.867,-0.7,-24.4,-26.5,150.906,-17.523,-15.017,0,0,0
1422629483723,-5.473,1.472,9.394,0.3,-25.7,-26.9,138.022,-21.068,-23.941,0,0,0
1422629483822,-3.414,2.018,8.187,3.7,-29.6,-23.9,163.519,-12.814,-22.046,0,0,0
1422629483922,-3.357,1.893,7.756,6.4,-31.5,-22.4,174.009,-2.757,-23.034,0,0,0
1422629484022,-4.123,1.999,8.963,10.3,-31.5,-23,176.887,-11.444,-24.183,0,0,0
1422629484122,-3.395,3.243,9.068,11.4,-32.3,-22.5,183.704,-18.518,-19.419,0,0,0
1422629484222,-2.189,2.985,11.443,11.4,-33.1,-21.5,192.449,-13.901,-11.94,0,0,0
1422629484322,-1.729,1.328,13.061,11.4,-34.3,-21.5,194.598,-5.752,-7.5,0,0,0
1422629484422,-2.284,1.271,10.131,12.2,-35.9,-19.4,190.64,-6.457,-14.908,0,0,0
1422629484522,-3.51,0.974,8.34,13.6,-36.9,-18,187.957,-6.137,-22.677,0,0,0
1422629484622,-2.945,1.577,8.934,10.4,-38.9,-16,181.42,-4.313,-27.963,0,0,0
1422629484722,-2.399,2.161,9.039,4,-41.3,-13.5,178.895,-13.011,-14.471,0,0,0
1422629484822,-2.457,1.558,8.963,-5.6,-41.3,-11.2,166.809,-9.509,-15.109,0,0,0
1422629484922,-1.355,3.406,13.166,-19.4,-33.7,-10.1,144.721,-10.325,-19.409,0,0,0
1422629485022,-0.714,3.243,11.797,-28.3,-23.6,-11.2,124.509,-15.341,-3.333,0,0,0
1422629485122,-2.543,2.41,8.369,-31.5,-13.2,-13.6,104.648,-19.02,-6.605,0,0,0
1422629485222,-0.666,4.373,10.227,-32.1,-4.6,-14.2,88.23,-23.108,-3.424,0,0,0
1422629485322,0.301,2.937,8.015,-29.4,-1.9,-17.2,84.131,-15.809,0.638,0,0,0
1422629485422,0.253,2.64,8.177,-25.9,-1.9,-19.9,79.882,-17.89,1.678,0,0,0
1422629485522,1.527,3.186,8.57,-24.3,-1.9,-21.3,72.68,-20.099,9.474,0,0,0
1422629485622,0.273,2.391,8.024,-21.8,-1.1,-23.9,69.166,-18.317,7.697,0,0,0
1422629485721,0.933,2.42,8.704,-21.8,0.6,-24.3,69.31,-15.446,5.888,0,0,0
1422629485822,1.565,3.014,9.796,-21.8,1.3,-24.9,67.002,-16.031,4.733,0,0,0
1422629485922,0.579,2.525,7.526,-20.8,1.3,-25.8,62.929,-18.503,4.161,0,0,0
1422629486022,-0.015,3.291,8.264,-19.9,2.3,-25.8,59.271,-20.757,1.946,0,0,0
1422629486122,-0.398,3.387,10.217,-19.1,3.6,-26.4,59.947,-18.323,-2.115,0,0,0
1422629486222,-0.407,3.234,9.671,-18.1,4.9,-27.7,55.234,-18.478,-2.278,0,0,0
1422629486322,-1.279,1.51,12.017,-18.5,6.5,-27.3,54.649,-18.367,-4.322,0,0,0
1422629486422,-1.212,1.252,10.744,-19.7,8.3,-26.4,63.699,-6.603,-6.387,0,0,0
1422629486522,0.933,2.305,10.131,-19.7,11,-26,45.679,-17.184,2.231,0,0,0
1422629486622,0.809,2.257,8.474,-18.8,13,-26,40.207,-14.852,5.258,0,0,0
1422629486722,1.125,1.922,9.633,-18.8,13,-26.4,39.882,-12.948,6.666,0,0,0
1422629486822,1.086,2.429,9.7,-19.3,13,-26,40.782,-13.978,6.196,0,0,0
1422629486922,0.636,2.104,8.896,-19.3,13.9,-26.4,41.568,-13.273,3.972,0,0,0
1422629487022,1.45,2.276,9.93,-19.3,13.9,-26.4,40.334,-13.262,5.491,0,0,0
1422629487122,1.048,2.133,9.556,-19.3,13.9,-25.8,40.573,-12.507,6.101,0,0,0
1422629487222,1.163,2.238,9.078,-19.3,13.9,-25.8,39.475,-14.447,6.135,0,0,0
1422629487322,0.751,1.941,9.394,-19.3,13.2,-26.2,43.197,-11.631,4.468,0,0,0
1422629487422,1.01,2.315,9.154,-19.3,12.8,-26.2,41.973,-13.595,5.187,0,0,0
1422629487522,0.972,2.324,9.374,-19.3,12.8,-26.2,41.359,-13.845,5.739,0,0,0
1422629487622,0.838,2.659,9.078,-19.3,12.4,-26.2,41.274,-16.259,5.047,0,0,0
1422629487727,0.177,2.631,9.087,-19.3,12.8,-26.2,42.478,-17.362,1.857,0,0,0
