timestamp, AccelerationX, AccelerationY, AccelerationZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Z-AxisAgle(Azimuth), X-AxisAngle(Pitch), Y-AxisAngle(Roll), GyroX, GyroY, GyroZ
1422629703993,-1.403,4.574,10.456,-10.9,5.9,-33.3,38.691,-23.441,-7.009,0,0,0
1422629704091,-1.384,4.651,8.637,-10.9,5.2,-33.3,32.753,-26.663,-2.861,0,0,0
1422629704192,-0.264,3.875,8.503,-11.8,5.2,-33.3,34.581,-24.495,-1.608,0,0,0
1422629704292,-0.819,4.689,9.173,-12.4,4.1,-32.7,38.988,-26.982,-4.536,0,0,0
1422629704392,-0.235,5.015,10.179,-12.4,3.2,-32.7,36.908,-26.217,-1.179,0,0,0
1422629704492,-0.608,5.388,9.47,-12.4,1.4,-32.3,39.798,-29.591,-3.195,0,0,0
1422629704592,-0.992,5.427,8.062,-12.8,1.4,-31.8,39.115,-33.86,-4.124,0,0,0
1422629704692,-0.321,5.082,7.861,-13.7,1.8,-30.8,39.215,-32.864,-1.956,0,0,0
1422629704791,-0.723,4.728,9.633,-13.7,2.6,-32.1,41.83,-31.785,-5.624,0,0,0
1422629704901,-0.043,5.063,7.21,-13,3.1,-32.1,32.055,-35.082,-0.278,0,0,0
1422629704990,-0.503,4.699,8.158,-13,3.1,-32.1,38.326,-29.9,-3.051,0,0,0
1422629705099,-0.781,5.408,8.139,-13,3.1,-31.7,37.893,-33.478,-4.565,0,0,0
1422629705190,-1.269,5.053,8.675,-13,3.5,-31.7,42.251,-29.96,-7.197,0,0,0
1422629705291,-0.819,5.197,8.675,-13,3.5,-31.7,42.72,-31.658,-8.916,0,0,0
1422629705392,-1.039,4.689,8.752,-13,3.5,-31.7,42.429,-28.017,-5.972,0,0,0
1422629705492,-0.57,5.273,8.991,-13,3.9,-31.7,42.054,-29.411,-7.164,0,0,0
1422629705592,-0.292,5.034,7.306,-13,3.9,-31.7,33.58,-34.551,-1.877,0,0,0
1422629705690,-0.091,4.89,7.536,-13,4.3,-31.7,32.57,-32.98,-0.574,0,0,0
1422629705792,-2.035,3.061,9.748,-14.5,4.9,-31.7,56.244,-17.086,-11.26,0,0,0
1422629705892,0.857,3.885,10.14,-15.3,3.8,-31.3,40.772,-20.886,4.507,0,0,0
1422629705992,0.703,4.335,8.733,-14.8,3.8,-31.3,45.391,-22.734,-1.7,0,0,0
1422629706092,0.464,4.881,8.139,-14.8,3.1,-31.3,35.005,-30.909,2.791,0,0,0
1422629706192,0.847,5.187,8.177,-14.1,2.2,-30.9,36.818,-31.467,1.091,0,0,0
1422629706292,-2.332,4.009,8.244,-14.1,1.7,-30.9,56.87,-25.079,-14.269,0,0,0
1422629706392,-1.327,4.986,7.641,-14.1,2.7,-30.9,44.845,-32.735,-8.265,0,0,0
1422629706492,-1.93,4.574,8.465,-14.5,1.9,-30.9,52.871,-27.78,-11.338,0,0,0
1422629706592,-0.532,5.666,7.545,-14.5,1.9,-30.9,39.384,-36.832,-3.218,0,0,0
1422629706690,-0.79,5.647,9.384,-14.5,3,-30.9,35.117,-41.944,-2.72,0,0,0
1422629706792,-0.8,4.728,9.432,-14.5,3,-30.9,45.94,-26.542,-4.33,0,0,0
1422629706892,-0.513,5.302,8.13,-14.5,3,-30.9,41.556,-28.378,-1.433,0,0,0
1422629706992,-0.877,5.599,7.842,-14.5,2.4,-30.9,41.572,-35.356,-5.199,0,0,0
1422629707092,-1.097,5.341,8.541,-14.5,2.4,-30.9,44.791,-31.808,-6.209,0,0,0
1422629707192,-1.087,5.609,8.254,-14.5,1.8,-30.9,44.056,-33.97,-6.209,0,0,0
1422629707292,-1.039,5.446,8.733,-14.1,1.8,-30.9,44.478,-31.771,-5.761,0,0,0
1422629707392,-1.03,5.838,8.407,-14.1,1.8,-30.9,40.093,-36.694,-4.522,0,0,0
1422629707492,-1.049,5.704,8.493,-13.7,1.4,-30.9,43.296,-33.688,-5.853,0,0,0
